disease_name,similar_diseases_count,known_drugs_count,overall_recommendations_count,similar_recommendations_count,metrics,success,error
sunburn,0,12,10,0,"{'overall_known_count': 12, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.08333333333333333, 'overall_f1_score': 0.0909090909090909, 'similar_known_count': 12, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 12, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.08333333333333333, 'combined_f1_score': 0.0909090909090909, 'disease_name': 'sunburn', 'known_drugs_count': 12, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
albinism,4,4,10,4,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 4, 'similar_recs_count': 4, 'similar_overlap_count': 4, 'similar_precision': 1.0, 'similar_recall': 1.0, 'similar_f1_score': 1.0, 'combined_known_count': 4, 'combined_recs_count': 14, 'combined_overlap_count': 4, 'combined_precision': 0.2857142857142857, 'combined_recall': 1.0, 'combined_f1_score': 0.4444444444444445, 'disease_name': 'albinism', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 4, 'similar_diseases_count': 4}",True,
kidney disease,6,164,10,5,"{'overall_known_count': 164, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 164, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.006097560975609756, 'similar_f1_score': 0.01183431952662722, 'combined_known_count': 164, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.006097560975609756, 'combined_f1_score': 0.011173184357541898, 'disease_name': 'kidney disease', 'known_drugs_count': 164, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 6}",True,
Disseminated intravascular coagulation,0,3,10,0,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 3, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 3, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'Disseminated intravascular coagulation', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
glycogen storage disease Ib,36,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'glycogen storage disease Ib', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 36}",True,
intestinal polyp,42,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'intestinal polyp', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 42}",True,
typhus,0,1,10,0,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 1.0, 'combined_f1_score': 0.18181818181818182, 'disease_name': 'typhus', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
aortic stenosis,4,19,10,4,"{'overall_known_count': 19, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 19, 'similar_recs_count': 4, 'similar_overlap_count': 1, 'similar_precision': 0.25, 'similar_recall': 0.05263157894736842, 'similar_f1_score': 0.08695652173913043, 'combined_known_count': 19, 'combined_recs_count': 14, 'combined_overlap_count': 1, 'combined_precision': 0.07142857142857142, 'combined_recall': 0.05263157894736842, 'combined_f1_score': 0.06060606060606061, 'disease_name': 'aortic stenosis', 'known_drugs_count': 19, 'overall_recommendations_count': 10, 'similar_recommendations_count': 4, 'similar_diseases_count': 4}",True,
grade III meningioma,35,10,10,5,"{'overall_known_count': 10, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 10, 'similar_recs_count': 5, 'similar_overlap_count': 4, 'similar_precision': 0.8, 'similar_recall': 0.4, 'similar_f1_score': 0.5333333333333333, 'combined_known_count': 10, 'combined_recs_count': 15, 'combined_overlap_count': 4, 'combined_precision': 0.26666666666666666, 'combined_recall': 0.4, 'combined_f1_score': 0.32, 'disease_name': 'grade III meningioma', 'known_drugs_count': 10, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 35}",True,
ovarian neoplasm,43,49,10,5,"{'overall_known_count': 49, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 49, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.04081632653061224, 'similar_f1_score': 0.07407407407407406, 'combined_known_count': 49, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.04081632653061224, 'combined_f1_score': 0.0625, 'disease_name': 'ovarian neoplasm', 'known_drugs_count': 49, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 43}",True,
restless legs syndrome,0,24,10,0,"{'overall_known_count': 24, 'overall_recs_count': 10, 'overall_overlap_count': 3, 'overall_precision': 0.3, 'overall_recall': 0.125, 'overall_f1_score': 0.17647058823529413, 'similar_known_count': 24, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 24, 'combined_recs_count': 10, 'combined_overlap_count': 3, 'combined_precision': 0.3, 'combined_recall': 0.125, 'combined_f1_score': 0.17647058823529413, 'disease_name': 'restless legs syndrome', 'known_drugs_count': 24, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
hidradenitis suppurativa,0,38,10,0,"{'overall_known_count': 38, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 38, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 38, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'hidradenitis suppurativa', 'known_drugs_count': 38, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
chronic interstitial cystitis,4,4,10,5,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.25, 'overall_f1_score': 0.14285714285714288, 'similar_known_count': 4, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.25, 'similar_f1_score': 0.22222222222222224, 'combined_known_count': 4, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.5, 'combined_f1_score': 0.2105263157894737, 'disease_name': 'chronic interstitial cystitis', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 4}",True,
adult-onset Still's disease,0,0,0,0,{},False,400 POST https://bigquery.googleapis.com/bigquery/v2/projects/redrugai/queries?prettyPrint=false: Syntax error: concatenated string literals must be separated by whitespace or comments at [6:44]
thymus neoplasm,17,10,10,5,"{'overall_known_count': 10, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.1, 'overall_f1_score': 0.10000000000000002, 'similar_known_count': 10, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.1, 'similar_f1_score': 0.13333333333333333, 'combined_known_count': 10, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.2, 'combined_f1_score': 0.16, 'disease_name': 'thymus neoplasm', 'known_drugs_count': 10, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 17}",True,
hemorrhagic fever with renal syndrome,1,1,10,0,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 1.0, 'combined_f1_score': 0.18181818181818182, 'disease_name': 'hemorrhagic fever with renal syndrome', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 1}",True,
myeloid sarcoma,15,9,10,5,"{'overall_known_count': 9, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 9, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.1111111111111111, 'similar_f1_score': 0.14285714285714285, 'combined_known_count': 9, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.1111111111111111, 'combined_f1_score': 0.08333333333333334, 'disease_name': 'myeloid sarcoma', 'known_drugs_count': 9, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 15}",True,
allergic contact dermatitis,8,4,10,5,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.25, 'overall_f1_score': 0.14285714285714288, 'similar_known_count': 4, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.25, 'similar_f1_score': 0.22222222222222224, 'combined_known_count': 4, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.5, 'combined_f1_score': 0.2105263157894737, 'disease_name': 'allergic contact dermatitis', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 8}",True,
endocrine neoplasm,8,3,10,5,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.3333333333333333, 'overall_f1_score': 0.15384615384615383, 'similar_known_count': 3, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 3, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.3333333333333333, 'combined_f1_score': 0.1111111111111111, 'disease_name': 'endocrine neoplasm', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 8}",True,
colonic neoplasm,50,27,10,5,"{'overall_known_count': 27, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 27, 'similar_recs_count': 5, 'similar_overlap_count': 3, 'similar_precision': 0.6, 'similar_recall': 0.1111111111111111, 'similar_f1_score': 0.18750000000000003, 'combined_known_count': 27, 'combined_recs_count': 15, 'combined_overlap_count': 3, 'combined_precision': 0.2, 'combined_recall': 0.1111111111111111, 'combined_f1_score': 0.14285714285714285, 'disease_name': 'colonic neoplasm', 'known_drugs_count': 27, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 50}",True,
injury,1,72,10,0,"{'overall_known_count': 72, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 72, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 72, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'injury', 'known_drugs_count': 72, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 1}",True,
language disorder,20,2,10,5,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.5, 'similar_f1_score': 0.28571428571428575, 'combined_known_count': 2, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.5, 'combined_f1_score': 0.11764705882352941, 'disease_name': 'language disorder', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 20}",True,
musculoskeletal system disease,3,6,10,5,"{'overall_known_count': 6, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 6, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 6, 'combined_recs_count': 15, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'musculoskeletal system disease', 'known_drugs_count': 6, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 3}",True,
